idx,dist_to_deck_m,velocity_mm_yr,sigma_v,height_dh_m,sigma_dh,thermal_mm_per_C,sigma_thermal,temporal_coherence,asi,is_ps
164,504.7,0.034,0.725,-2.17,14.71,-0.2719,0.1572,0.429,,1
165,160.1,-0.935,0.502,-17.49,10.19,-0.0941,0.1088,0.2829,,0
166,491.7,0.304,0.733,7.78,14.88,-0.2179,0.159,0.1676,,0
167,151.1,-0.339,0.547,-4.72,11.1,0.1543,0.1186,0.1818,,0
168,20.9,-1.101,1.257,167.86,25.52,0.1861,0.2727,0.0774,,0
169,381.0,0.498,1.437,120.1,29.16,-0.2621,0.3116,0.1091,,0
170,65.7,0.156,0.206,-16.83,4.18,-0.1323,0.0446,0.7857,,1
171,74.1,0.689,0.402,-19.75,8.15,0.0426,0.0871,0.4394,,1
172,205.9,-1.066,0.356,-4.33,7.23,0.1508,0.0772,0.5962,,1
173,303.5,-0.332,1.1,153.81,22.33,-0.1181,0.2387,0.251,,0
174,322.4,-1.226,0.73,18.47,14.83,-0.152,0.1584,0.1945,,0
175,118.4,-1.262,1.119,144.83,22.71,-0.0473,0.2427,0.1327,,0
176,100.3,0.623,0.321,-20.87,6.51,-0.0914,0.0696,0.5715,,1
177,156.8,0.607,0.309,-29.42,6.27,0.0414,0.0671,0.619,,1
178,190.8,0.408,0.418,-26.87,8.48,0.1599,0.0906,0.5751,,1
179,489.3,-0.106,0.29,-7.83,5.88,-0.1478,0.0629,0.8047,,1
180,95.6,-0.235,0.104,-7.61,2.11,-0.0683,0.0225,0.9419,,1
181,512.4,-0.383,0.859,-10.98,17.44,-0.3117,0.1864,0.169,,0
182,78.4,-0.392,0.127,-18.13,2.57,-0.0532,0.0275,0.9142,,1
183,19.7,0.09,1.468,73.76,29.8,-0.071,0.3185,0.0597,,0
184,329.4,-1.185,0.391,3.17,7.94,-0.1157,0.0849,0.6856,,1
185,101.5,-1.609,1.049,151.21,21.29,-0.1293,0.2275,0.1808,,0
186,418.6,-1.13,0.64,-24.15,12.99,0.0318,0.1388,0.5379,,1
187,227.8,-1.17,0.123,-18.76,2.49,-0.0613,0.0266,0.9193,,1
188,37.3,-0.324,0.292,-28.17,5.93,-0.0214,0.0634,0.6475,,1
189,521.7,0.303,0.694,-10.8,14.09,-0.2532,0.1505,0.5557,,1
190,105.3,-0.929,1.046,145.41,21.23,-0.0121,0.2269,0.1416,,0
191,108.4,-1.703,0.518,-3.99,10.5,-0.0666,0.1123,0.3858,,1
192,96.2,-0.524,0.212,-23.12,4.31,-0.0235,0.046,0.7961,,1
193,56.5,-1.893,0.876,74.54,17.77,0.0299,0.1899,0.0767,,0
194,59.3,-0.51,0.152,-20.62,3.09,-0.0132,0.0331,0.8772,,1
195,52.4,-0.229,0.335,-18.09,6.79,-0.0755,0.0726,0.6052,,1
196,23.0,-0.578,1.018,157.7,20.67,-0.121,0.2209,0.0918,,0
197,92.2,-1.008,1.058,151.88,21.47,-0.0283,0.2294,0.115,,0
198,313.5,0.067,0.126,-19.49,2.56,-0.0854,0.0274,0.916,,1
199,48.3,-0.713,0.271,-14.09,5.49,-0.0587,0.0587,0.6655,,1
200,67.9,-0.172,0.151,-21.43,3.07,-0.0522,0.0328,0.8805,,1
201,270.9,0.515,0.504,-0.19,10.24,0.1147,0.1094,0.1986,,0
202,27.3,-0.125,0.621,-8.73,12.61,-0.1076,0.1348,0.7149,,1
203,218.8,-0.828,0.339,-11.91,6.87,0.2908,0.0735,0.6514,,1
204,301.9,-1.534,0.592,-6.44,12.01,-0.4877,0.1283,0.3014,,0
205,121.2,-0.325,0.367,-13.07,7.46,-0.1478,0.0797,0.5722,,1
206,195.0,-0.449,1.034,155.5,20.98,-0.0394,0.2242,0.1244,,0
207,127.2,-0.018,0.439,-20.1,8.91,-0.0339,0.0952,0.3221,,0
208,13.8,-1.607,0.859,34.01,17.43,0.0402,0.1862,0.0637,,0
209,556.9,0.547,0.731,31.76,14.83,0.2936,0.1585,0.5761,,1
210,46.6,-1.061,0.698,-45.12,14.16,-0.0829,0.1513,0.3898,,1
211,273.5,-0.114,1.129,153.59,22.92,0.1577,0.2449,0.0981,,0
212,401.2,-0.343,0.332,10.64,6.73,-0.0719,0.072,0.6484,,1
213,451.6,0.051,0.483,-4.48,9.8,0.0086,0.1047,0.3449,,0
214,220.7,0.595,0.569,-30.71,11.54,0.2562,0.1233,0.5605,,1
215,414.4,0.113,0.418,11.33,8.48,-0.1267,0.0906,0.492,,1
216,262.8,-1.964,0.467,-16.43,9.49,-0.2378,0.1014,0.5528,,1
217,286.6,-0.141,1.104,161.48,22.4,0.0728,0.2394,0.1569,,0
218,88.4,-1.369,1.061,151.45,21.54,-0.1539,0.2302,0.2168,,0
219,476.3,-0.11,0.306,-12.17,6.2,-0.1366,0.0663,0.7968,,1
220,282.7,-0.033,0.55,-23.63,11.17,-0.1822,0.1194,0.2712,,0
221,166.2,-0.419,0.134,-20.57,2.72,-0.0606,0.0291,0.9059,,1
222,288.0,-0.453,0.121,-18.2,2.45,0.0319,0.0262,0.9249,,1
223,78.4,-1.275,1.301,193.36,26.42,-0.2798,0.2823,0.0441,,0
224,403.7,0.448,1.447,133.32,29.37,-0.3298,0.3138,0.0551,,0
225,124.1,-0.368,0.546,11.27,11.07,0.1261,0.1183,0.6,,1
226,225.1,-0.792,0.57,-2.55,11.56,-0.0407,0.1236,0.3267,,0
227,127.2,-0.932,0.386,-14.02,7.84,-0.0366,0.0838,0.7045,,1
228,196.3,-0.913,0.309,-20.49,6.27,-0.0229,0.067,0.8352,,1
229,42.0,-0.662,0.243,-23.96,4.94,-0.0578,0.0528,0.7658,,1
230,397.7,-0.004,1.378,124.57,27.97,-0.3231,0.2989,0.0295,,0
231,48.5,0.018,1.367,179.02,27.74,-0.0295,0.2964,0.0575,,0
232,109.0,-0.736,1.146,140.13,23.27,-0.0247,0.2487,0.1705,,0
233,371.4,-0.444,1.49,116.48,30.25,-0.3399,0.3233,0.1,,0
234,70.4,-0.23,0.21,-17.98,4.25,-0.0092,0.0455,0.7841,,1
235,147.0,-1.788,0.503,1.21,10.21,-0.136,0.1091,0.2215,,0
236,390.6,0.348,1.447,127.78,29.38,-0.2636,0.3139,0.113,,0
237,25.6,-0.627,1.419,108.97,28.8,-0.0447,0.3078,0.2223,,0
238,166.6,-0.858,0.273,13.31,5.55,0.3007,0.0593,0.813,,1
239,236.8,0.122,0.129,-15.62,2.61,-0.0091,0.0279,0.913,,1
240,143.5,0.836,0.162,-16.4,3.28,-0.1182,0.035,0.8648,,1
241,134.0,-0.198,0.188,-18.43,3.82,0.0494,0.0408,0.8294,,1
242,348.6,-1.479,0.641,21.33,13.01,0.1437,0.139,0.1803,,0
243,34.5,-0.053,0.359,-13.41,7.3,0.0864,0.078,0.8367,,1
244,292.3,-0.375,0.207,-22.74,4.21,-0.1078,0.0449,0.8266,,1
245,386.5,-0.469,0.276,-5.64,5.6,-0.1167,0.0598,0.8048,,1
246,185.7,-0.287,1.052,148.48,21.36,-0.2035,0.2282,0.1163,,0
247,9.6,-2.541,0.941,73.96,19.09,-0.3013,0.204,0.2395,,0
248,3.4,-2.542,0.942,73.94,19.11,-0.3013,0.2042,0.2373,,0
249,55.7,-0.714,1.215,146.53,24.66,-0.2509,0.2636,0.1545,,0
250,337.9,-0.227,1.44,157.46,29.22,-0.0498,0.3123,0.0621,,0
251,137.8,-0.945,1.18,118.99,23.96,-0.3943,0.256,0.0932,,0
252,204.4,-0.025,0.321,-11.49,6.52,0.0352,0.0696,0.6284,,1
253,97.8,-2.312,1.152,144.2,23.38,0.1325,0.2499,0.1814,,0
254,22.8,-2.419,0.876,41.85,17.78,-0.0921,0.19,0.383,,1
255,60.6,-0.875,0.228,-25.96,4.63,-0.1032,0.0495,0.7442,,1
256,277.3,-0.533,1.038,145.46,21.07,0.1365,0.2252,0.1177,,0
257,137.1,-0.163,0.437,-0.53,8.88,0.1529,0.0949,0.8047,,1
258,517.6,0.218,0.718,1.73,14.57,-0.2791,0.1558,0.4081,,1
259,52.1,-0.166,1.283,178.14,26.05,-0.1259,0.2783,0.1015,,0
260,60.5,-1.995,0.875,52.67,17.76,-0.2525,0.1898,0.2731,,0
261,130.2,0.858,0.66,-33.75,13.4,-0.0059,0.1432,0.2204,,0
262,79.1,-2.004,1.174,154.66,23.82,-0.0458,0.2546,0.1393,,0
263,76.5,-0.725,0.624,-38.72,12.67,-0.133,0.1354,0.4897,,1
264,263.5,-0.325,0.109,-23.3,2.22,0.0045,0.0238,0.9347,,1
265,269.8,1.074,0.698,-30.96,14.18,-0.3394,0.1515,0.0647,,0
266,258.1,-0.426,0.455,-5.54,9.24,-0.1873,0.0987,0.4624,,1
267,21.7,-1.68,0.891,34.73,18.08,-0.2073,0.1932,0.2937,,0
268,223.9,-1.006,0.389,12.42,7.89,-0.0682,0.0843,0.75,,1
269,283.8,-1.496,0.566,-19.05,11.48,0.0379,0.1227,0.5746,,1
270,296.6,-0.169,0.233,-32.85,4.73,-0.1136,0.0505,0.7429,,1
271,64.6,-2.39,0.894,55.22,18.15,-0.3515,0.194,0.3519,,1
272,296.6,-0.217,0.149,-13.53,3.03,-0.0942,0.0324,0.8841,,1
273,110.9,-1.651,1.103,144.32,22.39,0.1488,0.2393,0.1694,,0
274,141.1,-0.633,0.097,-17.85,1.98,-0.0477,0.0211,0.9493,,1
275,70.5,-2.221,0.669,-32.96,13.59,0.1982,0.1452,0.0803,,0
276,186.3,-0.385,0.956,183.25,19.41,-0.1345,0.2075,0.0824,,0
277,20.7,0.536,0.434,-10.79,8.81,0.1634,0.0941,0.6798,,1
278,176.1,-0.033,0.421,-17.83,8.55,-0.0016,0.0914,0.3867,,1
279,291.7,-0.15,0.162,-19.79,3.28,-0.0991,0.035,0.8655,,1
280,487.7,0.844,0.888,7.49,18.03,-0.2019,0.1927,0.3083,,0
281,217.4,-0.179,1.012,161.69,20.54,-0.1907,0.2195,0.1709,,0
282,305.6,-1.731,0.607,6.88,12.32,-0.3557,0.1317,0.2382,,0
283,493.3,-1.836,0.679,-13.84,13.78,-0.2834,0.1472,0.1006,,0
284,407.3,0.374,1.497,129.65,30.39,-0.277,0.3248,0.0667,,0
285,571.0,-0.046,1.077,13.08,21.87,-0.2829,0.2337,0.0365,,0
286,372.6,-0.203,0.549,1.48,11.14,-0.0015,0.1191,0.3986,,1
287,365.4,-0.697,0.789,-2.2,16.02,-0.0006,0.1712,0.2631,,0
288,220.7,1.155,1.518,92.33,30.82,-0.053,0.3294,0.1372,,0
289,4.1,-0.837,0.931,71.94,18.9,-0.1469,0.202,0.167,,0
290,48.3,-0.466,0.501,-22.69,10.17,0.0434,0.1086,0.3592,,1
291,382.5,0.8,0.6,-2.64,12.18,-0.2252,0.1302,0.1535,,0
292,15.5,-1.109,1.046,156.26,21.23,-0.1485,0.2268,0.2734,,0
293,62.4,-0.097,0.333,-19.96,6.76,0.0449,0.0723,0.7622,,1
294,114.6,-1.873,1.056,154.14,21.43,-0.0885,0.229,0.1119,,0
295,72.2,-0.812,0.535,-16.96,10.86,-0.126,0.1161,0.581,,1
296,217.4,-1.246,0.151,-20.52,3.06,-0.0466,0.0327,0.8813,,1
297,58.9,-0.994,0.172,-18.79,3.48,-0.1675,0.0372,0.8529,,1
298,224.3,1.709,1.612,89.53,32.72,0.0263,0.3497,0.2063,,0
299,298.0,-1.438,0.765,4.76,15.52,-0.1229,0.1659,0.2377,,0
300,231.8,-0.43,0.179,-12.26,3.63,-0.0939,0.0388,0.8444,,1
301,202.8,-0.329,1.483,65.67,30.09,0.141,0.3216,0.0677,,0
302,17.4,-1.205,0.767,38.16,15.57,-0.0196,0.1664,0.4452,,1
303,292.5,-2.213,0.752,11.7,15.27,-0.1395,0.1631,0.105,,0
304,252.9,-0.508,0.991,156.61,20.11,-0.1386,0.2149,0.1416,,0
305,90.5,-3.048,1.038,82.11,21.06,-0.2643,0.2251,0.1099,,0
306,318.7,-1.466,0.574,15.94,11.64,-0.1806,0.1244,0.2264,,0
307,193.2,-0.879,0.292,-9.78,5.93,-0.0423,0.0634,0.8185,,1
308,342.9,-1.601,0.46,1.42,9.34,-0.0463,0.0998,0.5399,,1
309,29.7,-1.672,0.962,40.93,19.53,0.0024,0.2087,0.2584,,0
310,359.6,-0.914,0.666,6.64,13.52,0.0643,0.1445,0.1011,,0
311,263.0,-0.366,0.451,-24.05,9.15,-0.0449,0.0978,0.4955,,1
312,322.3,-0.293,0.262,-5.72,5.32,0.0017,0.0568,0.7822,,1
313,235.2,-0.979,0.217,-21.08,4.4,-0.0281,0.047,0.7795,,1
314,315.0,-2.0,0.593,2.96,12.03,-0.4148,0.1286,0.2506,,0
315,20.8,-0.16,1.004,77.16,20.37,0.2414,0.2177,0.1993,,0
316,13.6,-2.65,0.819,50.45,16.62,-0.0977,0.1776,0.3274,,0
317,230.5,-0.005,1.032,163.91,20.94,-0.1488,0.2238,0.1168,,0
318,41.7,-1.55,1.026,152.97,20.83,-0.1946,0.2226,0.0965,,0
319,10.7,-1.698,0.855,40.19,17.36,-0.0645,0.1855,0.1563,,0
320,346.6,-0.39,0.488,-9.35,9.9,-0.0188,0.1058,0.7421,,1
321,117.0,0.772,0.69,-29.86,14.01,-0.0448,0.1497,0.3113,,0
322,71.6,-1.709,1.254,167.93,25.46,0.0718,0.2721,0.165,,0
323,138.3,-0.175,0.132,-10.38,2.67,0.1436,0.0286,0.9097,,1
324,251.9,-0.16,0.713,-18.86,14.46,-0.1681,0.1546,0.421,,1
325,7.7,-1.304,1.248,162.13,25.33,0.2308,0.2706,0.1518,,0
326,299.8,-0.237,0.159,-22.4,3.22,-0.1279,0.0344,0.8694,,1
