idx,dist_to_deck_m,velocity_mm_yr,sigma_v,height_dh_m,sigma_dh,thermal_mm_per_C,sigma_thermal,temporal_coherence,asi,is_ps
202,571.3,-2.181,2.045,-21.39,18.69,-0.9226,0.2679,0.039,,0
203,343.0,-2.067,2.405,-63.26,21.98,-1.2281,0.315,0.2551,,0
204,186.3,-0.511,1.726,43.55,15.77,-0.1657,0.2261,0.1724,,0
205,670.3,-4.727,2.442,87.19,22.31,-0.3574,0.3198,0.0721,,0
206,202.8,0.632,1.266,-14.73,11.57,0.1231,0.1658,0.2403,,0
207,139.1,2.981,1.982,2.27,18.11,-0.1213,0.2596,0.201,,0
208,44.8,-0.741,1.812,55.03,16.56,-0.372,0.2374,0.196,,0
209,205.4,0.253,1.198,-18.79,10.95,0.495,0.1569,0.174,,0
210,719.4,-4.608,3.132,157.79,28.62,-0.5433,0.4102,0.0944,,0
211,210.2,0.106,1.073,-0.07,9.81,0.3027,0.1406,0.3115,,0
212,218.3,0.4,1.136,-18.73,10.38,0.1153,0.1488,0.2115,,0
213,265.8,1.445,1.147,-3.43,10.48,0.3503,0.1502,0.2668,,0
214,200.7,0.856,1.536,5.97,14.03,0.0722,0.2012,0.2334,,0
215,694.8,2.183,1.475,-167.92,13.47,-1.3462,0.1932,0.288,,0
216,87.5,3.413,1.718,-93.03,15.7,-1.1374,0.2251,0.2913,,0
217,250.1,2.987,1.811,-119.25,16.55,-1.0477,0.2372,0.5091,,1
218,368.8,-1.713,2.399,-57.14,21.92,-1.1153,0.3143,0.1244,,0
219,497.4,-0.77,2.855,-121.21,26.09,-1.3796,0.374,0.1352,,0
220,675.5,-3.869,2.571,67.67,23.49,-0.2654,0.3368,0.2223,,0
221,360.2,-2.233,2.334,-56.76,21.32,-1.2012,0.3057,0.2214,,0
222,668.0,5.408,1.464,-154.0,13.38,-1.0726,0.1918,0.3085,,0
223,408.0,3.237,1.32,-160.7,12.06,-0.9668,0.1729,0.1458,,0
224,144.5,-1.417,1.049,61.84,9.58,0.8049,0.1374,0.4085,,1
225,26.4,-1.059,1.233,-37.31,11.27,-0.7706,0.1615,0.2448,,0
226,22.4,0.904,1.541,29.54,14.08,-0.4652,0.2019,0.0945,,0
227,220.6,1.604,1.263,-15.62,11.54,0.3513,0.1655,0.0952,,0
228,225.0,0.709,1.197,-15.96,10.94,0.0878,0.1569,0.205,,0
229,472.7,0.387,2.584,141.2,23.61,0.4273,0.3385,0.1762,,0
230,401.6,3.435,1.496,-136.88,13.67,-0.869,0.196,0.2217,,0
231,42.5,-2.263,1.575,-58.85,14.39,-0.742,0.2063,0.1048,,0
232,360.2,-1.651,2.357,-55.88,21.54,-1.2374,0.3087,0.2152,,0
233,82.9,-2.299,1.431,66.17,13.08,0.329,0.1875,0.3546,,1
234,203.9,0.044,1.216,-7.07,11.11,0.308,0.1592,0.1686,,0
235,142.6,-1.579,1.145,76.84,10.46,0.2585,0.15,0.2713,,0
236,67.9,-1.541,2.028,22.96,18.53,0.1861,0.2656,0.2887,,0
237,514.6,-1.56,2.985,51.67,27.27,-0.6647,0.391,0.189,,0
238,334.3,-1.339,2.876,-69.21,26.28,-1.3244,0.3767,0.2499,,0
239,644.5,-4.447,2.164,60.77,19.77,-0.3163,0.2835,0.216,,0
240,36.3,-2.313,1.264,-34.22,11.55,-0.6434,0.1655,0.1943,,0
241,528.9,-3.003,2.181,149.29,19.93,0.5517,0.2858,0.0588,,0
242,34.5,-2.431,1.199,62.34,10.95,-0.5977,0.157,0.26,,0
243,261.0,3.667,2.039,-123.58,18.63,-1.0638,0.2671,0.3529,,1
244,678.3,4.265,2.254,-172.61,20.59,-1.3379,0.2952,0.2115,,0
245,240.3,1.017,2.144,47.16,19.59,-0.0106,0.2809,0.2645,,0
246,58.5,1.189,2.028,9.35,18.53,-0.0426,0.2657,0.3206,,0
247,76.6,1.67,1.639,-93.5,14.98,-1.3204,0.2148,0.0878,,0
248,236.9,3.88,2.259,-124.91,20.64,-1.1015,0.2959,0.3274,,0
249,35.4,-1.449,2.039,-29.32,18.63,-1.0195,0.2671,0.1169,,0
250,390.5,3.941,1.3,-144.26,11.88,-1.0218,0.1704,0.2544,,0
251,638.0,6.706,2.167,-137.71,19.8,-0.9681,0.2839,0.1346,,0
252,78.4,2.562,2.741,2.08,25.04,-0.2884,0.359,0.0843,,0
253,77.2,-1.466,1.381,67.33,12.62,0.2571,0.1809,0.3913,,1
254,52.8,3.219,2.188,14.23,20.0,0.1682,0.2867,0.2814,,0
255,7.2,-1.118,2.18,-55.57,19.92,-1.4823,0.2855,0.3085,,0
256,92.7,1.387,1.6,-62.39,14.62,-1.218,0.2095,0.0942,,0
257,583.0,4.601,3.367,-44.71,30.77,-1.1267,0.4411,0.1678,,0
258,35.0,-2.231,1.45,-38.27,13.25,-1.0465,0.1899,0.1533,,0
259,175.1,-0.131,1.286,9.54,11.75,0.2612,0.1684,0.345,,0
260,86.4,1.245,1.625,-90.4,14.85,-1.4167,0.2128,0.1824,,0
261,85.2,1.021,1.686,-87.57,15.4,-1.2324,0.2208,0.153,,0
262,640.2,3.887,1.63,-179.13,14.9,-1.2091,0.2136,0.1184,,0
263,88.6,-1.281,1.036,64.27,9.47,0.2664,0.1357,0.3531,,1
264,607.4,5.747,2.423,-85.72,22.14,-1.6856,0.3174,0.2541,,0
265,76.9,0.318,2.035,31.0,18.6,0.3776,0.2666,0.1804,,0
266,729.6,-4.247,3.043,166.15,27.8,-0.292,0.3986,0.1453,,0
267,622.2,6.232,2.001,-122.97,18.28,-1.0501,0.2621,0.4268,,1
268,691.0,3.449,1.294,-183.31,11.83,-1.6449,0.1695,0.229,,0
269,21.5,-1.771,2.181,77.21,19.92,-0.1811,0.2856,0.1319,,0
270,77.5,-0.921,1.798,-39.34,16.43,-0.9108,0.2355,0.3004,,0
271,28.7,-2.407,1.817,-26.9,16.61,-0.9878,0.2381,0.1688,,0
272,187.3,2.075,2.558,29.02,23.38,0.2121,0.3351,0.1892,,0
273,544.4,-3.103,1.792,157.26,16.37,0.2402,0.2347,0.1104,,0
274,502.8,2.05,2.94,-118.21,26.86,-1.0907,0.3851,0.1027,,0
275,291.0,-0.741,2.713,-63.18,24.79,-1.4979,0.3553,0.1961,,0
276,13.7,-3.552,1.641,-39.62,15.0,-0.5566,0.215,0.2161,,0
277,50.6,-2.786,1.186,55.73,10.84,-0.3793,0.1554,0.3259,,0
278,40.2,-2.669,1.224,45.93,11.19,-0.7515,0.1604,0.1779,,0
279,467.1,1.182,2.044,106.33,18.68,-0.0397,0.2678,0.1442,,0
280,53.4,2.77,2.041,9.04,18.65,-0.0635,0.2674,0.0898,,0
281,23.9,-3.963,2.252,-36.41,20.58,-0.4284,0.295,0.095,,0
282,20.2,-1.686,1.181,-34.13,10.8,-0.8103,0.1548,0.2692,,0
283,349.0,1.444,2.619,-57.16,23.93,-1.3293,0.3431,0.2254,,0
284,673.3,4.373,1.713,-163.83,15.66,-1.1095,0.2244,0.1996,,0
285,52.5,-2.51,1.573,-43.12,14.37,-0.7429,0.2061,0.1016,,0
286,663.0,5.772,2.001,-147.21,18.29,-1.1846,0.2622,0.2848,,0
287,487.2,0.453,3.123,-95.84,28.54,-0.9174,0.4091,0.048,,0
288,451.2,0.673,1.691,-135.22,15.45,-1.1428,0.2215,0.2587,,0
289,9.2,-1.618,1.632,-50.24,14.92,-1.0756,0.2138,0.2154,,0
290,72.4,-1.772,1.38,58.52,12.61,0.2268,0.1807,0.4094,,1
291,55.3,-5.114,1.708,64.17,15.6,-0.3795,0.2237,0.1974,,0
292,164.7,1.295,1.536,-3.67,14.03,0.2267,0.2012,0.161,,0
