idx,dist_to_deck_m,velocity_mm_yr,sigma_v,height_dh_m,sigma_dh,thermal_mm_per_C,sigma_thermal,temporal_coherence,asi,is_ps
235,229.3,2.564,1.307,35.26,24.16,-0.1244,0.285,0.1325,,0
236,534.5,-2.703,0.655,-151.58,12.1,-0.9639,0.1427,0.1816,,0
237,539.1,-2.685,1.338,45.16,24.73,-1.4603,0.2917,0.175,,0
238,258.3,-1.585,1.785,-63.94,32.99,-0.4823,0.3891,0.1727,,0
239,518.8,-1.108,1.159,46.07,21.41,-1.2419,0.2525,0.108,,0
240,250.8,-0.791,1.045,-141.06,19.31,-0.6914,0.2277,0.1398,,0
241,524.6,-2.809,0.939,-202.29,17.34,-1.1197,0.2046,0.0633,,0
242,546.1,-3.275,0.636,-169.07,11.76,-0.6443,0.1387,0.0238,,0
243,414.8,-1.186,1.122,34.25,20.73,-0.469,0.2445,0.1217,,0
244,539.0,-3.322,0.658,-158.24,12.15,-0.726,0.1433,0.1792,,0
245,115.4,-0.496,0.928,44.51,17.15,-0.2945,0.2023,0.1156,,0
246,679.7,-2.146,1.35,-171.81,24.96,-0.7618,0.2943,0.1123,,0
247,109.2,-4.308,1.312,27.37,24.25,-0.8939,0.286,0.2317,,0
248,59.0,-1.173,1.37,-75.44,25.32,-1.6851,0.2986,0.1251,,0
249,302.7,-1.45,0.825,-138.65,15.25,-0.7378,0.1798,0.1952,,0
250,89.8,0.765,1.046,29.26,19.33,-0.3345,0.228,0.1202,,0
251,407.8,-2.051,1.387,-113.72,25.62,-1.9363,0.3022,0.2149,,0
252,558.2,-1.206,1.056,-175.03,19.52,-0.8218,0.2302,0.1246,,0
253,20.7,-1.561,1.224,-70.45,22.61,-1.397,0.2667,0.1117,,0
254,458.1,-2.276,0.715,-153.14,13.22,-1.0534,0.1559,0.0731,,0
255,30.5,-0.133,0.86,16.18,15.89,-0.2207,0.1875,0.1246,,0
256,111.2,-0.41,0.954,43.82,17.63,-0.2419,0.2079,0.2059,,0
257,28.9,-0.767,1.218,-43.83,22.51,-1.4004,0.2654,0.1173,,0
258,415.2,-2.377,0.874,-168.12,16.16,-1.0967,0.1906,0.0959,,0
259,107.5,-0.904,1.04,-65.11,19.21,-1.5176,0.2266,0.1089,,0
260,472.3,-2.19,0.712,-165.52,13.16,-1.0258,0.1552,0.1924,,0
261,518.6,-2.111,0.818,-156.2,15.11,-0.9737,0.1782,0.2347,,0
262,648.1,0.529,1.565,0.91,28.92,-1.4517,0.3411,0.1541,,0
263,515.7,-2.381,0.626,-159.67,11.57,-0.9846,0.1365,0.3441,,0
264,779.0,-2.363,1.207,84.13,22.32,-0.9066,0.2632,0.1143,,0
265,118.1,-4.632,1.325,23.42,24.49,-0.8133,0.2889,0.1433,,0
266,547.6,-3.221,1.488,-143.08,27.49,-0.5741,0.3242,0.1198,,0
267,423.0,-1.201,0.857,-156.92,15.85,-0.9464,0.1869,0.0991,,0
268,335.0,-0.448,0.965,-154.71,17.84,-1.0527,0.2104,0.0926,,0
269,529.1,-0.822,1.212,38.61,22.39,-1.482,0.2641,0.15,,0
270,450.9,-3.132,0.81,-162.54,14.97,-0.9649,0.1765,0.0881,,0
271,236.9,-1.376,1.311,-3.64,24.22,-0.8209,0.2857,0.1212,,0
272,619.7,-0.066,1.779,51.51,32.88,-1.6458,0.3877,0.0756,,0
273,116.3,2.078,0.913,30.19,16.87,-0.3345,0.199,0.1162,,0
274,77.4,1.536,1.353,12.36,25.0,-0.1216,0.2949,0.086,,0
275,117.4,-4.52,1.318,34.01,24.36,-0.7503,0.2873,0.2934,,0
276,548.6,-2.221,0.937,-156.16,17.32,-0.9399,0.2043,0.0521,,0
277,143.6,-5.262,1.355,28.35,25.03,-0.7751,0.2953,0.1504,,0
278,561.4,-0.737,0.954,-163.74,17.62,-0.7428,0.2078,0.18,,0
279,489.1,-0.616,1.22,31.02,22.54,-1.5036,0.2658,0.1346,,0
280,158.8,-3.897,1.567,-84.38,28.96,-0.6865,0.3416,0.1981,,0
281,654.2,-1.581,1.46,-170.75,26.98,-0.5048,0.3182,0.0445,,0
282,509.3,-1.563,0.871,-155.22,16.1,-0.9171,0.1898,0.2402,,0
283,507.4,-2.865,0.653,-158.79,12.06,-0.9659,0.1423,0.2447,,0
284,508.0,-3.346,1.053,-167.07,19.47,-0.938,0.2296,0.2253,,0
285,76.9,-4.533,1.262,17.0,23.32,-0.663,0.2751,0.2397,,0
286,614.4,-2.125,1.356,-141.15,25.06,-0.9726,0.2956,0.1628,,0
287,453.0,-2.891,0.747,-155.18,13.81,-0.8794,0.1628,0.121,,0
288,471.9,-1.557,0.729,-162.64,13.47,-0.8762,0.1589,0.1079,,0
289,40.6,-2.375,1.269,-48.14,23.46,-1.3076,0.2767,0.1447,,0
290,201.6,-0.696,1.351,-99.82,24.97,-0.7304,0.2944,0.1106,,0
291,109.7,-0.037,1.335,13.35,24.68,-0.5044,0.291,0.1301,,0
292,368.8,-1.591,0.683,-168.33,12.62,-0.9555,0.1488,0.2492,,0
293,632.0,0.798,1.46,45.58,26.99,-0.7599,0.3183,0.1472,,0
294,550.6,-2.227,1.038,-168.87,19.18,-0.5547,0.2262,0.2008,,0
295,472.1,-2.027,0.63,-158.3,11.64,-0.9565,0.1372,0.2799,,0
296,307.2,-1.17,0.916,-139.84,16.93,-0.9131,0.1997,0.1302,,0
297,336.3,-0.301,1.096,-145.01,20.26,-0.9349,0.2389,0.199,,0
298,156.0,-2.678,1.623,56.53,30.0,-0.8864,0.3538,0.1137,,0
299,541.5,-2.292,0.673,-181.33,12.45,-0.8864,0.1468,0.1291,,0
300,35.0,-2.286,1.343,-67.61,24.82,-1.1935,0.2927,0.1499,,0
301,468.7,-2.767,1.496,30.76,27.64,-1.5065,0.326,0.1662,,0
302,38.7,0.164,0.882,18.82,16.31,-0.2763,0.1923,0.0293,,0
303,43.4,-1.641,1.376,4.42,25.43,-0.4916,0.2999,0.084,,0
304,533.1,-2.646,1.301,49.38,24.05,-1.3622,0.2836,0.1033,,0
305,513.3,-4.516,1.314,-84.05,24.28,-1.0276,0.2863,0.1781,,0
306,126.2,1.728,1.006,16.06,18.6,-0.5656,0.2193,0.045,,0
307,27.4,-4.228,1.246,15.4,23.02,-0.5589,0.2715,0.1665,,0
308,526.4,-1.637,1.17,59.73,21.62,-1.3765,0.2549,0.123,,0
309,482.3,-4.101,1.002,-123.47,18.52,-0.8463,0.2184,0.0467,,0
310,52.0,2.147,1.515,6.77,28.01,0.1418,0.3303,0.1527,,0
311,434.2,-1.466,0.83,-155.98,15.35,-1.0608,0.181,0.2813,,0
312,481.0,-2.242,0.731,-153.76,13.51,-0.9293,0.1593,0.1898,,0
313,2.5,0.2,0.878,19.05,16.23,-0.498,0.1914,0.0572,,0
314,343.4,-2.231,1.08,-122.04,19.96,-0.6834,0.2354,0.2052,,0
315,168.4,-0.909,1.52,-92.99,28.09,-0.9248,0.3313,0.2555,,0
316,384.6,-3.7,1.407,-130.15,26.0,-1.0287,0.3066,0.2961,,0
317,498.1,-1.445,0.832,-157.88,15.38,-1.183,0.1813,0.2052,,0
318,292.3,-0.429,0.778,-149.25,14.37,-0.9269,0.1695,0.2463,,0
319,325.6,-1.208,0.898,-129.1,16.59,-0.7622,0.1957,0.1022,,0
320,284.6,-4.137,1.49,-96.2,27.54,-1.8548,0.3248,0.0502,,0
321,467.4,-2.644,0.814,-173.39,15.05,-0.9631,0.1775,0.1738,,0
322,663.6,0.784,1.007,45.56,18.61,-0.7863,0.2195,0.0899,,0
